Entity,Code,Year,Oil production (TWh)
Poland,POL,1960,2.256
Poland,POL,1961,2.361
Poland,POL,1962,2.361
Poland,POL,1963,2.466
Poland,POL,1964,3.28
Qatar,QAT,1900,0
Qatar,QAT,1901,0
Qatar,QAT,1902,0
Qatar,QAT,1903,0
Qatar,QAT,1904,0
Qatar,QAT,1905,0
Qatar,QAT,1906,0
Qatar,QAT,1907,0
Qatar,QAT,1908,0
Qatar,QAT,1909,0
Qatar,QAT,1910,0
Qatar,QAT,1911,0
Qatar,QAT,1912,0
Qatar,QAT,1913,0
Qatar,QAT,1914,0
Qatar,QAT,1915,0
Qatar,QAT,1916,0
Qatar,QAT,1917,0
Qatar,QAT,1918,0
Qatar,QAT,1919,0
Qatar,QAT,1920,0
Qatar,QAT,1921,0
Qatar,QAT,1922,0
Qatar,QAT,1923,0
Qatar,QAT,1924,0
Qatar,QAT,1925,0
Qatar,QAT,1926,0
Qatar,QAT,1927,0
Qatar,QAT,1928,0
Qatar,QAT,1929,0
Qatar,QAT,1930,0
Qatar,QAT,1931,0
Qatar,QAT,1932,0
Qatar,QAT,1933,0
Qatar,QAT,1934,0
Qatar,QAT,1935,0
Qatar,QAT,1936,0
Qatar,QAT,1937,0
Qatar,QAT,1938,0
Qatar,QAT,1939,0
Qatar,QAT,1940,0
Qatar,QAT,1941,0
Qatar,QAT,1942,0
Qatar,QAT,1943,0
Qatar,QAT,1944,0
Qatar,QAT,1945,0
Qatar,QAT,1946,0
Qatar,QAT,1947,0
Qatar,QAT,1948,0
Qatar,QAT,1949,1.163
Qatar,QAT,1950,19.027
Qatar,QAT,1951,27.563
Qatar,QAT,1952,38.344
Qatar,QAT,1953,47.241
Qatar,QAT,1954,55.568
Qatar,QAT,1955,63.244
Qatar,QAT,1956,68.338
Qatar,QAT,1957,77.316
Qatar,QAT,1958,95.622
Qatar,QAT,1959,92.959
Qatar,QAT,1960,95.506
Qatar,QAT,1961,97.483
Qatar,QAT,1962,102.437
Qatar,QAT,1963,105.775
Qatar,QAT,1964,117.754
Qatar,QAT,1965,134.751
Qatar,QAT,1966,168.294
Qatar,QAT,1967,187.379
Qatar,QAT,1968,197.171
Qatar,QAT,1969,205.885
Qatar,QAT,1970,209.934
Qatar,QAT,1971,248.682
Qatar,QAT,1972,279.519
Qatar,QAT,1973,329.648
Qatar,QAT,1974,299.575
Qatar,QAT,1975,252.73
Qatar,QAT,1976,282.418
Qatar,QAT,1977,251.573
Qatar,QAT,1978,279.912
Qatar,QAT,1979,292.635
Qatar,QAT,1980,274.87
Qatar,QAT,1981,240.308
Qatar,QAT,1982,195.951
Qatar,QAT,1983,178.215
Qatar,QAT,1984,199.096
Qatar,QAT,1985,177.857
Qatar,QAT,1986,200.542
Qatar,QAT,1987,177.316
Qatar,QAT,1988,204.904
Qatar,QAT,1989,228.625
Qatar,QAT,1990,245.252
Qatar,QAT,1991,236.902
Qatar,QAT,1992,274.03
Qatar,QAT,1993,253.276
Qatar,QAT,1994,247.878
Qatar,QAT,1995,253.485
Qatar,QAT,1996,314.708
Qatar,QAT,1997,386.336
Qatar,QAT,1998,389.573
Qatar,QAT,1999,398.008
Qatar,QAT,2000,466.526
Qatar,QAT,2001,464.44
Qatar,QAT,2002,433.467
Qatar,QAT,2003,508.407
Qatar,QAT,2004,579.353
Qatar,QAT,2005,610.265
Qatar,QAT,2006,658.23
Qatar,QAT,2007,667.185
Qatar,QAT,2008,748.97
Qatar,QAT,2009,724.5
Qatar,QAT,2010,823.467
Qatar,QAT,2011,902.694
Qatar,QAT,2012,954.877
Qatar,QAT,2013,977.32
Qatar,QAT,2014,969.36
Qatar,QAT,2015,943.311
Qatar,QAT,2016,947.403
Qatar,QAT,2017,918.26
Qatar,QAT,2018,923.021
Qatar,QAT,2019,911.77
Romania,ROU,1900,2.884
Romania,ROU,1901,3.466
Romania,ROU,1902,3.768
Romania,ROU,1903,4.792
Romania,ROU,1904,6.176
Romania,ROU,1905,7.932
Romania,ROU,1906,11.293
Romania,ROU,1907,13.351
Romania,ROU,1908,13.247
Romania,ROU,1909,15.77
Romania,ROU,1910,15.433
Romania,ROU,1911,18.899
Romania,ROU,1912,22.085
Romania,ROU,1913,21.492
Romania,ROU,1914,21.05
Romania,ROU,1915,18.468
Romania,ROU,1916,10.455
Romania,ROU,1917,8.42
Romania,ROU,1918,11.269
Romania,ROU,1919,9.955
Romania,ROU,1920,12.898
Romania,ROU,1921,13.584
Romania,ROU,1922,15.968
Romania,ROU,1923,17.585
Romania,ROU,1924,21.632
Romania,ROU,1925,26.947
Romania,ROU,1926,37.728
Romania,ROU,1927,42.671
Romania,ROU,1928,49.8
Romania,ROU,1929,56.254
Romania,ROU,1930,67.361
Romania,ROU,1931,78.572
Romania,ROU,1932,85.457
Romania,ROU,1933,85.795
Romania,ROU,1934,98.46
Romania,ROU,1935,97.413
Romania,ROU,1936,101.216
Romania,ROU,1937,83.155
Romania,ROU,1938,76.688
Romania,ROU,1939,72.571
Romania,ROU,1940,67.57
Romania,ROU,1941,63.418
Romania,ROU,1942,65.884
Romania,ROU,1943,61.325
Romania,ROU,1944,40.996
Romania,ROU,1945,53.963
Romania,ROU,1946,48.765
Romania,ROU,1947,44.31
Romania,ROU,1948,48.253
Romania,ROU,1949,54.661
Romania,ROU,1950,58.697
Romania,ROU,1951,72.234
Romania,ROU,1952,93.063
Romania,ROU,1953,105.345
Romania,ROU,1954,113.288
Romania,ROU,1955,122.755
Romania,ROU,1956,127
Romania,ROU,1957,130.024
Romania,ROU,1958,131.838
Romania,ROU,1959,133.024
Romania,ROU,1960,133.745
Romania,ROU,1961,134.699
Romania,ROU,1962,137.978
Romania,ROU,1963,142.27
Romania,ROU,1964,144.154
Romania,ROU,1965,148.866
Romania,ROU,1966,151.815
Romania,ROU,1967,156.239
Romania,ROU,1968,157.157
Romania,ROU,1969,157.284
Romania,ROU,1970,158.805
Romania,ROU,1971,163.636
Romania,ROU,1972,167.525
Romania,ROU,1973,169.952
Romania,ROU,1974,172.263
Romania,ROU,1975,173.935
Romania,ROU,1976,175.212
Romania,ROU,1977,174.631
Romania,ROU,1978,163.879
Romania,ROU,1979,147.612
